direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,KL 1309,KLM15H,Arrived,IsOperator,False,KLM,KL,KLM,PH-EZH,484C24,Embraer 190,,,,,,,,Amsterdam,AMS,EHAM,,,,,,,Europe/Amsterdam,2025-05-15 18:55Z,2025-05-15 20:55+02:00,2025-05-15 19:11Z,2025-05-15 21:11+02:00,,,2025-05-15 19:22Z,2025-05-15 21:22+02:00,1,6-8,B7,,36L,"Basic,Live",,,,,,,,,,,2025-05-15 20:35Z,2025-05-15 22:35+02:00,2025-05-15 20:36Z,2025-05-15 22:36+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4094,RYR37VT,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-EVN,4CA9EB,Boeing 737-800,,,,,,,,Manchester,MAN,EGCC,,,,,,,Europe/London,2025-05-15 18:20Z,2025-05-15 19:20+01:00,2025-05-15 18:31Z,2025-05-15 19:31+01:00,,,2025-05-15 18:42Z,2025-05-15 19:42+01:00,3,,49,,05L,"Basic,Live",,,,,,,,,,,2025-05-15 20:35Z,2025-05-15 22:35+02:00,2025-05-15 20:42Z,2025-05-15 22:42+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4943,RYR4943,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSU,48C233,Boeing 737-800,,,,,,,,Torp,TRF,ENTO,,,,,,,Europe/Oslo,2025-05-15 20:05Z,2025-05-15 22:05+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 21:10Z,2025-05-15 23:10+02:00,2025-05-15 20:48Z,2025-05-15 22:48+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1618,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 21:10Z,2025-05-15 23:10+02:00,2025-05-15 20:53Z,2025-05-15 22:53+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1742,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-15 20:05Z,2025-05-15 22:05+02:00,2025-05-15 20:05Z,2025-05-15 22:05+02:00,,,,,2,,F6,,,"Basic,Live",,,,,,,,,,,2025-05-15 21:10Z,2025-05-15 23:10+02:00,2025-05-15 21:01Z,2025-05-15 23:01+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1908,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 20:40Z,2025-05-15 22:40+02:00,2025-05-15 21:05Z,2025-05-15 23:05+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1736,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Goteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 21:20Z,2025-05-15 23:20+02:00,2025-05-15 21:14Z,2025-05-15 23:14+02:00,,,,,,,,,,"Basic,Live"
arrival,PC 6271,,Arrived,IsOperator,False,Pegasus,PC,PGT,,,,,,,,,,,Antalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 21:45Z,2025-05-15 23:45+02:00,2025-05-15 21:28Z,2025-05-15 23:28+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 9921,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Rzym Ciampino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 22:00Z,2025-05-16 00:00+02:00,2025-05-15 21:42Z,2025-05-15 23:42+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4678,RYR1TP,Arrived,IsOperator,False,Ryanair,FR,RYR,9H-QDC,4D2235,Boeing 737-800,,,,,,,,Stockholm,ARN,ESSA,,,,,,,Europe/Stockholm,2025-05-15 18:45Z,2025-05-15 20:45+02:00,2025-05-15 19:03Z,2025-05-15 21:03+02:00,,,2025-05-15 19:11Z,2025-05-15 21:11+02:00,4,403-408,C31,,08,"Basic,Live",,,,,,,,,,,2025-05-15 21:30Z,2025-05-15 23:30+02:00,2025-05-15 21:46Z,2025-05-15 23:46+02:00,,,,,,,,,,"Basic,Live"
arrival,SK 753,SAS753,Arrived,IsOperator,False,SAS,SK,SAS,EI-SII,4CAFCE,Airbus A320 NEO,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-15 21:00Z,2025-05-15 23:00+02:00,2025-05-15 21:15Z,2025-05-15 23:15+02:00,,,,,3,,D3,,,"Basic,Live",,,,,,,,,,,2025-05-15 21:59Z,2025-05-15 23:59+02:00,2025-05-15 21:49Z,2025-05-15 23:49+02:00,,,,,,,,,,"Basic,Live"
arrival,LO 3827,LOT3827,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LEA,48AC80,Embraer 195,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-15 20:55Z,2025-05-15 22:55+02:00,2025-05-15 20:55Z,2025-05-15 22:55+02:00,,,,,E-D,241-280,24,,,"Basic,Live",,,,,,,,,,,2025-05-15 21:50Z,2025-05-15 23:50+02:00,2025-05-15 22:05Z,2025-05-16 00:05+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1608,WZZ48HY,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LTF,471EFF,Airbus A321,,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-05-15 20:20Z,2025-05-15 21:20+01:00,2025-05-15 20:20Z,2025-05-15 21:20+01:00,,,2025-05-15 20:27Z,2025-05-15 21:27+01:00,,12-26,,,08,"Basic,Live",,,,,,,,,,,2025-05-15 22:35Z,2025-05-16 00:35+02:00,2025-05-15 22:37Z,2025-05-16 00:37+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1774,WZZ838P,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXJ,471F6B,Airbus A321,,,,,,,,Reykjavik,KEF,BIKF,,,,,,,Atlantic/Reykjavik,2025-05-15 19:25Z,2025-05-15 19:25+00:00,2025-05-15 19:33Z,2025-05-15 19:33+00:00,,,2025-05-15 19:42Z,2025-05-15 19:42+00:00,,,A15,,,"Basic,Live",,,,,,,,,,,2025-05-15 23:05Z,2025-05-16 01:05+02:00,2025-05-15 22:51Z,2025-05-16 00:51+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1706,WZZ317,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXB,471F63,Airbus A321,,,,,,,,Barcelona,BCN,LEBL,,,,,,,Europe/Madrid,2025-05-15 20:20Z,2025-05-15 22:20+02:00,2025-05-15 20:19Z,2025-05-15 22:19+02:00,,,2025-05-15 20:35Z,2025-05-15 22:35+02:00,2,B3-B7,U34,,25L,"Basic,Live",,,,,,,,,,,2025-05-15 23:30Z,2025-05-16 01:30+02:00,2025-05-15 23:15Z,2025-05-16 01:15+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 593,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Londyn Stansted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 23:15Z,2025-05-16 01:15+02:00,2025-05-15 23:15Z,2025-05-16 01:15+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1716,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Funchal,FNC,LPMA,,,,,,,Atlantic/Madeira,2025-05-15 17:55Z,2025-05-15 18:55+01:00,2025-05-15 18:34Z,2025-05-15 19:34+01:00,,,,,1,,,,,"Basic,Live",,,,,,,,,,,2025-05-15 23:05Z,2025-05-16 01:05+02:00,2025-05-15 23:37Z,2025-05-16 01:37+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1614,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Malaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 23:35Z,2025-05-16 01:35+02:00,2025-05-15 23:45Z,2025-05-16 01:45+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1700,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Rzym Fiumicino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 23:00Z,2025-05-16 01:00+02:00,2025-05-15 23:46Z,2025-05-16 01:46+02:00,,,,,,,,,,"Basic,Live"
arrival,E4 7034,ENT7034,Arrived,IsOperator,False,Enter Air,E4,ENT,SP-ENX,4891B6,Boeing 737-800,,,,,,,,Hurghada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 23:45Z,2025-05-16 01:45+02:00,2025-05-16 00:05Z,2025-05-16 02:05+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1792,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Larnaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 00:30Z,2025-05-16 02:30+02:00,2025-05-16 00:11Z,2025-05-16 02:11+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1708,WZZ50FC,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WDT,4D24B4,Airbus A320,,,,,,,,Alicante,ALC,LEAL,,,,,,,Europe/Madrid,2025-05-15 21:25Z,2025-05-15 23:25+02:00,2025-05-15 21:14Z,2025-05-15 23:14+02:00,,,2025-05-15 21:29Z,2025-05-15 23:29+02:00,N,116-117,C45,,,"Basic,Live",,,,,,,,,,,2025-05-16 00:55Z,2025-05-16 02:55+02:00,2025-05-16 00:38Z,2025-05-16 02:38+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4616,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Sztokholm Arlanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 05:05Z,2025-05-16 07:05+02:00,2025-05-16 04:45Z,2025-05-16 06:45+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6845,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Kopenhaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 05:05Z,2025-05-16 07:05+02:00,2025-05-16 04:55Z,2025-05-16 06:55+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4105,RYR7WC,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZM,48C2AC,Boeing 737,,,,,,,,Wrocław,WRO,EPWR,,,,,,,Europe/Warsaw,2025-05-16 04:40Z,2025-05-16 06:40+02:00,2025-05-16 04:48Z,2025-05-16 06:48+02:00,,,2025-05-16 04:48Z,2025-05-16 06:48+02:00,,,,,29,"Basic,Live",,,,,,,,,,,2025-05-16 05:40Z,2025-05-16 07:40+02:00,2025-05-16 05:35Z,2025-05-16 07:35+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6112,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Lublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 06:30Z,2025-05-16 08:30+02:00,2025-05-16 06:13Z,2025-05-16 08:13+02:00,,,,,,,,,,"Basic,Live"
arrival,LO 3831,,Arrived,IsOperator,False,LOT - Polish,LO,LOT,,,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-16 05:10Z,2025-05-16 07:10+02:00,2025-05-16 05:10Z,2025-05-16 07:10+02:00,,,,,E-D,241-280,5,,,"Basic,Live",,,,,,,,,,,2025-05-16 06:05Z,2025-05-16 08:05+02:00,2025-05-16 06:21Z,2025-05-16 08:21+02:00,,,,,,,,,,"Basic,Live"
arrival,DY 1050,NOZ1050,Arrived,IsOperator,False,Norwegian Air Shuttle,DY,NOZ,SE-RPI,4ACA09,Boeing 737-800,,,,,,,,Oslo,OSL,ENGM,,,,,,,Europe/Oslo,2025-05-16 05:00Z,2025-05-16 07:00+02:00,2025-05-16 05:00Z,2025-05-16 07:00+02:00,,,2025-05-16 05:16Z,2025-05-16 07:16+02:00,,123,E11,,01L,"Basic,Live",,,,,,,,,,,2025-05-16 06:25Z,2025-05-16 08:25+02:00,2025-05-16 06:29Z,2025-05-16 08:29+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1921,RYR1921,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSU,48C233,Boeing 737-800,,,,,,,,Prague,PRG,LKPR,,,,,,,Europe/Prague,2025-05-16 05:30Z,2025-05-16 07:30+02:00,2025-05-16 05:24Z,2025-05-16 07:24+02:00,,,2025-05-16 05:34Z,2025-05-16 07:34+02:00,2,211-211,,,30,"Basic,Live",,,,,,,,,,,2025-05-16 06:45Z,2025-05-16 08:45+02:00,2025-05-16 06:31Z,2025-05-16 08:31+02:00,,,,,,,,,,"Basic,Live"
arrival,LX 1380,SWR7XX,Arrived,IsOperator,False,SWISS,LX,SWR,HB-JVP,4B19F5,Embraer 195,,,,,,,,Zurich,ZRH,LSZH,,,,,,,Europe/Zurich,2025-05-16 04:50Z,2025-05-16 06:50+02:00,2025-05-16 05:07Z,2025-05-16 07:07+02:00,,,2025-05-16 05:07Z,2025-05-16 07:07+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-16 06:40Z,2025-05-16 08:40+02:00,2025-05-16 06:51Z,2025-05-16 08:51+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6094,RYR34YC,Arrived,IsOperator,False,Ryanair,FR,RYR,9H-QCB,4D2212,Boeing 737-800,,,,,,,,Goteborg,GOT,ESGG,,,,,,,Europe/Stockholm,2025-05-16 03:45Z,2025-05-16 05:45+02:00,2025-05-16 03:32Z,2025-05-16 05:32+02:00,,,2025-05-16 03:43Z,2025-05-16 05:43+02:00,1,11-12,21A,,,"Basic,Live",,,,,,,,,,,2025-05-16 07:20Z,2025-05-16 09:20+02:00,2025-05-16 06:55Z,2025-05-16 08:55+02:00,,,,,,,,,,"Basic,Live"
arrival,E4 7760,,Arrived,IsOperator,False,Enter Air,E4,ENT,,,,,,,,,,,Kos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 06:50Z,2025-05-16 08:50+02:00,2025-05-16 07:03Z,2025-05-16 09:03+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1503,RYR6VB,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-IJI,4CAE59,Boeing 737-800,,,,,,,,Leeds,LBA,EGNM,,,,,,,Europe/London,2025-05-16 05:00Z,2025-05-16 06:00+01:00,2025-05-16 05:01Z,2025-05-16 06:01+01:00,,,2025-05-16 05:01Z,2025-05-16 06:01+01:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-16 07:10Z,2025-05-16 09:10+02:00,2025-05-16 07:04Z,2025-05-16 09:04+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1732,WZZ82NZ,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WDT,4D24B4,Airbus A321,,,,,,,,Stockholm,ARN,ESSA,,,,,,,Europe/Stockholm,2025-05-16 06:05Z,2025-05-16 08:05+02:00,2025-05-16 06:52Z,2025-05-16 08:52+02:00,,,2025-05-16 07:02Z,2025-05-16 09:02+02:00,4,409-410,C41,,08,"Basic,Live",,,,,,,,,,,2025-05-16 07:25Z,2025-05-16 09:25+02:00,2025-05-16 07:24Z,2025-05-16 09:24+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1784,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Oslo Gardermoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 07:45Z,2025-05-16 09:45+02:00,2025-05-16 07:29Z,2025-05-16 09:29+02:00,,,,,,,,,,"Basic,Live"
arrival,SK 755,SAS755,Expected,IsOperator,False,SAS,SK,SAS,EI-FPV,4CACCA,Canadair CRJ 900NG,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-16 06:35Z,2025-05-16 08:35+02:00,2025-05-16 06:35Z,2025-05-16 08:35+02:00,,,2025-05-16 06:50Z,2025-05-16 08:50+02:00,3,,E4,,04R,"Basic,Live",,,,,,,,,,,2025-05-16 07:35Z,2025-05-16 09:35+02:00,2025-05-16 07:33Z,2025-05-16 09:33+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 8254,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737,,,,,,,,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 07:50Z,2025-05-16 09:50+02:00,2025-05-16 07:38Z,2025-05-16 09:38+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1758,WZZ8ZQ,Expected,IsOperator,False,Wizz Air,W6,WZZ,HA-LXB,471F63,Airbus A321,,,,,,,,Bergen,BGO,ENBR,,,,,,,Europe/Oslo,2025-05-16 06:35Z,2025-05-16 08:35+02:00,2025-05-16 06:34Z,2025-05-16 08:34+02:00,,,2025-05-16 06:44Z,2025-05-16 08:44+02:00,,,E27,,,"Basic,Live",,,,,,,,,,,2025-05-16 08:20Z,2025-05-16 10:20+02:00,2025-05-16 08:14Z,2025-05-16 10:14+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4943,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Oslo Torp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 08:30Z,2025-05-16 10:30+02:00,2025-05-16 08:16Z,2025-05-16 10:16+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1642,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Eindhoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-16 08:40Z,2025-05-16 10:40+02:00,2025-05-16 08:29Z,2025-05-16 10:29+02:00,,,,,,,,,,"Basic,Live"
departure,FR 4679,RYR4679,Departed,IsOperator,False,Ryanair,FR,RYR,9H-QDC,4D2235,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-15 20:40Z,2025-05-15 22:40+02:00,2025-05-15 20:45Z,2025-05-15 22:45+02:00,,,,,,,,,,"Basic,Live",Stockholm,ARN,ESSA,,,,,,,Europe/Stockholm,2025-05-15 22:00Z,2025-05-16 00:00+02:00,2025-05-15 21:48Z,2025-05-15 23:48+02:00,,,,,5,,C37,3,,"Basic,Live"
departure,FR 4095,RYR56PY,Departed,IsOperator,False,Ryanair,FR,RYR,EI-EVN,4CA9EB,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-15 21:00Z,2025-05-15 23:00+02:00,2025-05-15 21:24Z,2025-05-15 23:24+02:00,,,,,,,,,,"Basic,Live",Manchester,MAN,EGCC,,,,,,,Europe/London,2025-05-15 23:25Z,2025-05-16 00:25+01:00,2025-05-15 23:26Z,2025-05-16 00:26+01:00,,,,,3,,50,,,"Basic,Live"
departure,PC 6272,PGT6272,Departed,IsOperator,False,Pegasus,PC,PGT,TC-NCG,4BB867,Airbus A320 (Sharklets),,,,,,,,,,,,,,,,,,2025-05-15 22:45Z,2025-05-16 00:45+02:00,2025-05-15 22:47Z,2025-05-16 00:47+02:00,,,2025-05-15 22:50Z,2025-05-16 00:50+02:00,,,,,,"Basic,Live",Antalya,AYT,LTAI,,,,,,,Europe/Istanbul,,,,,,,,,,,,,,
departure,LO 3828,LOT3828,Departed,IsOperator,False,LOT - Polish,LO,LOT,SP-LEA,48AC80,Embraer 195,,,,,,,,,,,,,,,,,,2025-05-16 03:40Z,2025-05-16 05:40+02:00,2025-05-16 03:40Z,2025-05-16 05:40+02:00,,,,,,,,,,"Basic,Live",Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-16 04:35Z,2025-05-16 06:35+02:00,2025-05-16 04:30Z,2025-05-16 06:30+02:00,,,,,,,,7,,"Basic,Live"
departure,FR 1920,RYR3ZE,Departed,IsOperator,False,Ryanair,FR,RYR,SP-RSU,48C233,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-16 03:45Z,2025-05-16 05:45+02:00,2025-05-16 03:45Z,2025-05-16 05:45+02:00,,,2025-05-16 03:38Z,2025-05-16 05:38+02:00,,,,,,"Basic,Live",Prague,PRG,LKPR,,,,,,,Europe/Prague,2025-05-16 05:05Z,2025-05-16 07:05+02:00,2025-05-16 04:41Z,2025-05-16 06:41+02:00,,,,,2,,,21,,"Basic,Live"
departure,FR 334,,Departed,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-16 03:50Z,2025-05-16 05:50+02:00,2025-05-16 03:50Z,2025-05-16 05:50+02:00,,,,,,,,,,"Basic,Live",Barcelona,BCN,LEBL,,,,,,,Europe/Madrid,2025-05-16 07:00Z,2025-05-16 09:00+02:00,2025-05-16 06:32Z,2025-05-16 08:32+02:00,,,,,2,,,,,"Basic,Live"
departure,W6 1611,WZZ38HJ,Departed,IsOperator,False,Wizz Air,W6,WZZ,HA-LXJ,471F6B,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-16 03:45Z,2025-05-16 05:45+02:00,2025-05-16 03:55Z,2025-05-16 05:55+02:00,,,,,,,,,,"Basic,Live",Liverpool,LPL,EGGP,,,,,,,Europe/London,2025-05-16 06:15Z,2025-05-16 07:15+01:00,2025-05-16 05:52Z,2025-05-16 06:52+01:00,,,,,,,,,,"Basic,Live"
departure,W6 1757,,Departed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-16 04:05Z,2025-05-16 06:05+02:00,2025-05-16 04:05Z,2025-05-16 06:05+02:00,,,,,,,,,,"Basic,Live",Bergen,BGO,ENBR,,,,,,,Europe/Oslo,2025-05-16 06:00Z,2025-05-16 08:00+02:00,2025-05-16 05:48Z,2025-05-16 07:48+02:00,,,,,,,,1,,"Basic,Live"
departure,LH 1647,DLH3AC,Departed,IsOperator,False,Lufthansa,LH,DLH,D-ACNQ,3C4DD1,Bombardier CRJ900,,,,,,,,,,,,,,,,,,2025-05-16 04:00Z,2025-05-16 06:00+02:00,2025-05-16 04:05Z,2025-05-16 06:05+02:00,,,,,,,,,,"Basic,Live",Munich,MUC,EDDM,,,,,,,Europe/Berlin,2025-05-16 05:35Z,2025-05-16 07:35+02:00,2025-05-16 05:30Z,2025-05-16 07:30+02:00,,,,,2,,,,,"Basic,Live"
departure,W6 1743,,Departed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-16 04:00Z,2025-05-16 06:00+02:00,2025-05-16 04:08Z,2025-05-16 06:08+02:00,,,,,,,,,,"Basic,Live",Torp,TRF,ENTO,,,,,,,Europe/Oslo,2025-05-16 05:25Z,2025-05-16 07:25+02:00,,,,,,,,,,,,Basic
departure,RR 3055,RYS3055,Departed,IsOperator,False,RR,RR,RYS,SP-RNG,48C1A6,Boeing 737-800,,,,,,,,,,,,,,,,,,2025-05-16 03:45Z,2025-05-16 05:45+02:00,2025-05-16 04:13Z,2025-05-16 06:13+02:00,,,,,,,,,,"Basic,Live",Zakynthos,,,,,,,,,,,,,,,,,,,,,,,
departure,SK 1758,SAS1758,Departed,IsOperator,False,SAS,SK,SAS,EI-SII,4CAFCE,Airbus A320 NEO,,,,,,,,,,,,,,,,,,2025-05-16 04:00Z,2025-05-16 06:00+02:00,2025-05-16 04:17Z,2025-05-16 06:17+02:00,,,,,,,,,,"Basic,Live",Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-16 05:00Z,2025-05-16 07:00+02:00,2025-05-16 05:00Z,2025-05-16 07:00+02:00,,,,,3,,A14,,,"Basic,Live"
departure,KL 1302,KLM71G,Departed,IsOperator,False,KLM,KL,KLM,PH-EZH,484C24,Embraer 190,,,,,,,,,,,,,,,,,,2025-05-16 04:20Z,2025-05-16 06:20+02:00,2025-05-16 04:26Z,2025-05-16 06:26+02:00,,,,,,,,,,"Basic,Live",Amsterdam,AMS,EHAM,,,,,,,Europe/Amsterdam,2025-05-16 06:10Z,2025-05-16 08:10+02:00,2025-05-16 05:45Z,2025-05-16 07:45+02:00,,,2025-05-16 05:45Z,2025-05-16 07:45+02:00,2,,,13,36R,"Basic,Live"
departure,LH 1383,DLH1PJ,Departed,IsOperator,False,Lufthansa,LH,DLH,EI-FPG,4CA6D9,Bombardier CRJ1000,,,,,,,,,,,,,,,,,,2025-05-16 04:25Z,2025-05-16 06:25+02:00,2025-05-16 04:30Z,2025-05-16 06:30+02:00,,,,,,,,,,"Basic,Live",Frankfurt-am-Main,FRA,EDDF,,,,,,,Europe/Berlin,2025-05-16 06:10Z,2025-05-16 08:10+02:00,2025-05-16 05:49Z,2025-05-16 07:49+02:00,,,,,1,,B2,,,"Basic,Live"
departure,W6 1601,,Departed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-16 04:20Z,2025-05-16 06:20+02:00,2025-05-16 04:33Z,2025-05-16 06:33+02:00,,,,,,,,,,"Basic,Live",London,LTN,EGGW,,,,,,,Europe/London,2025-05-16 06:45Z,2025-05-16 07:45+01:00,2025-05-16 06:45Z,2025-05-16 07:45+01:00,,,,,,,,3,,"Basic,Live"
departure,W6 1747,WZZ28WX,Departed,IsOperator,False,Wizz Air,W6,WZZ,HA-LXW,471F78,Airbus A321,,,,,,,,,,,,,,,,,,2025-05-16 04:40Z,2025-05-16 06:40+02:00,2025-05-16 04:40Z,2025-05-16 06:40+02:00,,,,,,,,,,"Basic,Live",Stavanger,SVG,ENZV,,,,,,,Europe/Oslo,2025-05-16 06:25Z,2025-05-16 08:25+02:00,2025-05-16 06:06Z,2025-05-16 08:06+02:00,,,2025-05-16 06:06Z,2025-05-16 08:06+02:00,,,,1,36,"Basic,Live"
